symbol,name,company_id
DIRIT,DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,4028e4a24158e42201415afbaa14606c
DITAS,DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.,4028e4a140f2ed710141179798bb02ed
DKVRL,DK VARLIK KİRALAMA A.Ş.,8acae2c5991b90af01992916f11d02c7
DMD,DESTEK YATIRIM MENKUL DEĞERLER A.Ş.,fb4e3f58d05d4f01a5f15679e90748e9
DMRGD,DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.,8acae2c486d22a3b018a97c880c913d6
DMSAS,DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.,4028e4a240f2ef4c0140f326817e0041
DNFIN,DENİZ FİNANSAL KİRALAMA A.Ş.,4028e4a140f2ed7101411793bae502d5
DNISI,DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.,8acae2c473646c5e017410b3f4b16fae
DNYVA,DÜNYA VARLIK YÖNETİM A.Ş.,8acae2c569cee403016b991858035a54
DNZEN,DENİZ EKO ENERJİ VE GERİ DÖNÜŞÜM A.Ş.,8acae2c4998f24d8019abf7bb7eb4396
DOAS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,4028e4a240e8d16e0140e951bf04007b
DOFER,DOFER YAPI MALZEMELERİ SANAYİ VE TİCARET A.Ş.,8acae2c486d22a3a018b03b62cd429bd
DOFRB,DOF ROBOTİK SANAYİ A.Ş.,8acae2c494bafc930198f4d3cccb4dbb
DOGUB,DOĞUSAN BORU SANAYİ VE TİCARET A.Ş.,4028e4a141e536460141ee618a972cf0
DOGVY,DOĞRU VARLIK YÖNETİM A.Ş.,8acae2c469cee2a4016a2aff6ed42fb3
DOHOL,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,4028e4a141462df201414ff732983087
DOKTA,DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.,4028e4a241558bd9014155c9b19e03b7
DSTKF,DESTEK FİNANS FAKTORİNG A.Ş.,4028e4a1415f4d9b01415fe0caa830df
DSYAT,DESTEK YATIRIM MENKUL DEĞERLER A.Ş.,fb4e3f58d05d4f01a5f15679e90748e9
DTRND,DOĞAN TREND OTOMOTİV TİCARET HİZMET VE TEKNOLOJİ A.Ş.,8acae2c57f7cbb480180b81e94cd4261
DUNYH,DÜNYA HOLDİNG A.Ş.,4028e4a141733b51014173e7419c13f1
DURDO,DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.,4028e4a141effedc0141fe14e2b41807
DURKN,DURUKAN ŞEKERLEME SANAYİ VE TİCARET A.Ş.,8acae2c49145e00d0191c6164e8e4aca
DVRLK,D VARLIK KİRALAMA A.Ş.,8acae2c49145e00b01928aa470dd5fda
DYBNK,D YATIRIM BANKASI A.Ş.,8acae2c4757dba8c01759d4015520c73
DYOBY,DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.,4028e4a140e8cf9d0140e95835a30033
DZGYO,DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,4028e4a240ee866c0140f1fad94e0047
DZY,DENİZ YATIRIM MENKUL KIYMETLER A.Ş.,4028e4a240f2ef4c01412b0a0cb90593
DZYMK,DENİZ YATIRIM MENKUL KIYMETLER A.Ş.,4028e4a240f2ef4c01412b0a0cb90593
EBEBK,EBEBEK MAĞAZACILIK A.Ş.,8acae2c586d22c51018a2b6c8f5963cd
